Date,Product,Expiry_Date,Open,Low,LTP,High,Close,Change,Change%,ATP,Spot_Price,Best_Buy,Best_Sell,OI,IM,EM,PEM,TM,Add_Long,Add_Short,SPCML,SPCMS,Volume,MSP_INR_per_Quintal,Policy_Shock_Flag,Import_Tonnes,Export_Tonnes,Net_Import_Tonnes,Rainfall_mm_mean,Rain_Dev%_mean,TMax_C_mean,TMin_C_mean,Heat_Stress_Days_sum,NDVI_mean,ENSO_Index,IOD_Index,Area_Sown_ha,Production_Tonnes,Yield_kg_ha,Sowing_Progress%,Monsoon_Progress%,Reservoir_Levels%,Mandi_Price_INR_Quintal,Global_Palm_Oil_USD_Tonne,Global_Soy_Oil_USD_Tonne,Policy_Global_Flag,Import_roll30_mean,trade_surge_flag,MSP_change_flag,Global_Palm_Oil_USD_Tonne_g,Global_Soy_Oil_USD_Tonne_g,ENSO_Index_g,IOD_Index_g,Rainfall_Lag1,Rainfall_Lag7,Rainfall_Lag15,Rainfall_Lag30,Rainfall_Lag60,Rainfall_Roll7_mean,Rainfall_Roll7_std,Rainfall_Roll30_mean,Rainfall_Roll30_std,TMax_Lag1,TMax_Lag7,TMax_Lag15,TMax_Lag30,TMax_Lag60,TMax_Roll7_mean,TMax_Roll7_std,TMax_Roll30_mean,TMax_Roll30_std,TMin_Lag1,TMin_Lag7,TMin_Lag15,TMin_Lag30,TMin_Lag60,TMin_Roll7_mean,TMin_Roll7_std,TMin_Roll30_mean,TMin_Roll30_std,Close_Lag1,Close_Lag7,Close_Lag15,Close_Lag30,Close_Lag60,Close_Roll7_mean,Close_Roll7_std,Close_Roll30_mean,Close_Roll30_std,LTP_Lag1,LTP_Lag7,LTP_Lag15,LTP_Lag30,LTP_Lag60,LTP_Roll7_mean,LTP_Roll7_std,LTP_Roll30_mean,LTP_Roll30_std,OI_Lag1,OI_Lag7,OI_Lag15,OI_Lag30,OI_Lag60,OI_Roll7_mean,OI_Roll7_std,OI_Roll30_mean,OI_Roll30_std,Mandi_Price_Lag1,Mandi_Price_Lag7,Mandi_Price_Lag15,Mandi_Price_Lag30,Mandi_Price_Lag60,Mandi_Price_Roll7_mean,Mandi_Price_Roll7_std,Mandi_Price_Roll30_mean,Mandi_Price_Roll30_std,NDVI_Lag1,NDVI_Lag7,NDVI_Lag15,NDVI_Lag30,NDVI_Lag60,NDVI_Roll7_mean,NDVI_Roll7_std,NDVI_Roll30_mean,NDVI_Roll30_std,ENSO_Lag1,ENSO_Lag7,ENSO_Lag15,ENSO_Lag30,ENSO_Lag60,ENSO_Roll7_mean,ENSO_Roll7_std,ENSO_Roll30_mean,ENSO_Roll30_std,IOD_Lag1,IOD_Lag7,IOD_Lag15,IOD_Lag30,IOD_Lag60,IOD_Roll7_mean,IOD_Roll7_std,IOD_Roll30_mean,IOD_Roll30_std,MSP_Lag1,MSP_Lag7,MSP_Lag15,MSP_Lag30,MSP_Lag60,MSP_Roll7_mean,MSP_Roll7_std,MSP_Roll30_mean,MSP_Roll30_std
09-03-2023,Castor,30-03-2023,3828.63,3695.24,3762.12,3828.74,3722.047581,-106.58,-2.784,3768.66,3774.43,3760.11,3808.21,1237,1.401,1.806,0.804,0.922,316,284,0.444,0.361,4362,3935,0,37,14,23,0.19,-0.168,38.16,22.29,0,0.407453528,0.438,0.126,20143,11796,1875,66.49,96.04,67.88,3759.1,799.98,909.46,0,35.96666667,0,0,799.9760717,909.4559427,0.438270856,0.125941541,0.03,2.18,0.5,1.7,13.69,2.007142857,2.671383626,2.063,2.987105796,34.8,34.54,36.44,34.2,30.77,35.66142857,3.352856636,34.962,2.654802285,20.17,20.29,21.4,20.81,21.58,19.62142857,1.962034901,20.53766667,1.941088716,3498.940554,3742.508452,3860.75438,3667.239841,4064.256007,3839.284466,212.1752214,3849.763654,179.0907802,3536.36,3765.29,3880.35,3604.17,3999.0,3854.208571,201.9572173,3845.806333,176.1296134,3451,6764,3291,2836,3043,5650.714286,6471.433476,4164.666667,3475.505682,3660.49,3637.4,3789.87,3864.52,4074.86,3769.015714,77.20717666,3827.811,111.5061987,0.444791156,0.340453011,0.431910989,0.50645808,0.539599157,0.412349771,0.025087168,0.440651057,0.051123057,0.242,0.267,0.736,-0.202,-0.23,0.327428571,0.294862599,0.2401,0.260804769,0.28,0.142,0.057,0.133,-0.058,0.142,0.113328431,0.078433333,0.163844267,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
10-03-2023,Castor,30-03-2023,3700.14,3668.54,3652.94,3734.77,3709.569714,9.43,0.255,3703.25,3800.91,3770.04,3833.82,4491,2.454,1.105,0.414,0.829,238,495,0.281,0.047,1763,3935,0,32,8,24,0.08,0.177,34.19,22.46,0,0.446052658,-0.344,0.142,114996,153291,1179,63.93,95.12,65.44,3822.45,819.02,849.84,0,35.96666667,0,0,819.0249411,849.8384077,-0.34359805,0.142137524,0.19,0.07,1.64,5.25,0.35,2.008571429,2.670177451,1.890666667,2.945748466,38.16,30.55,32.34,36.51,31.18,36.18142857,2.632979482,34.88466667,2.641913796,22.29,19.97,19.56,21.85,18.69,19.97714286,2.241567266,20.558,1.958427237,3722.047581,3676.263389,3643.322229,3898.377654,3876.027637,3844.042513,208.2472568,3843.470056,180.6343666,3762.12,3674.1,3625.47,3869.06,3937.24,3851.185714,205.2341274,3838.602333,179.5326636,1237,1258,5382,2635,1276,6112.571429,6216.007852,4226.533333,3463.837027,3759.1,3775.11,3835.53,3958.29,4061.45,3775.778571,79.85780872,3823.283,108.749035,0.407453528,0.366176577,0.441951399,0.546269028,0.470701729,0.42376064,0.017647763,0.437310512,0.04709956,0.438,0.113,0.364,0.044,0.544,0.262142857,0.38658006,0.227166667,0.2797939,0.126,0.213,0.053,-0.006,0.073,0.131857143,0.109009829,0.083366667,0.163441961,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
11-03-2023,Castor,30-03-2023,3804.95,3756.34,3844.63,3880.8,3773.688828,-31.26,-0.822,3803.94,3697.2,3658.13,3720.52,1848,2.528,0.954,0.648,1.373,295,433,0.621,0.963,2268,3935,0,63,26,37,0.77,0.211,35.81,16.49,0,0.39740732,0.313,0.005,62822,46988,1389,58.19,98.69,71.55,3658.13,848.8,864.9,0,36.73333333,0,0,848.8048631,864.9013059,0.313049511,0.00474304,0.08,4.07,0.09,0.57,10.0,1.537142857,2.533375313,1.897333333,2.942881456,34.19,41.05,35.06,37.69,28.58,35.43285714,1.53340269,34.822,2.59495585,22.46,16.87,21.52,19.94,19.75,19.92285714,2.332128601,20.443,2.092660656,3709.569714,4096.515586,3708.283412,3740.188736,4179.61563,3797.924404,176.3142784,3844.586725,180.0765582,3652.94,4106.42,3734.17,3698.37,4167.55,3813.787143,172.1598807,3843.477667,177.5683939,4491,1525,1609,4328,1011,6158.714286,6177.356169,4143.866667,3490.820245,3822.45,3695.24,3858.82,3902.56,3914.64,3770.477143,87.00728566,3815.135333,111.7206125,0.446052658,0.432036232,0.436145936,0.494774057,0.564319669,0.418813653,0.019678095,0.434064954,0.046352057,-0.344,0.559,0.443,0.296,-0.165,0.227,0.365714369,0.227733333,0.279955284,0.142,0.003,0.158,-0.304,0.214,0.132142857,0.108617722,0.093666667,0.147108999,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
12-03-2023,Castor,30-03-2023,3610.88,3603.3,3655.8,3671.02,3651.226808,40.35,1.117,3634.11,3640.0,3595.35,3678.12,2700,1.277,2.284,0.717,0.529,321,104,0.619,0.368,1194,3935,0,24,16,8,0.66,0.062,39.13,20.76,0,0.380543031,0.248,0.187,129959,160033,1380,71.47,95.16,64.39,3655.7,813.85,888.0,0,35.53333333,0,0,813.8474944,887.9979356,0.247546754,0.187494164,0.77,2.76,0.32,0.06,0.04,1.237142857,2.488371049,1.917333333,2.931982892,35.81,36.28,37.6,32.31,23.87,35.84,2.077610807,35.04933333,2.665089677,16.49,17.81,18.7,21.3,20.12,20.34428571,2.145785459,20.425,2.087350655,3773.688828,3910.664843,3780.307344,3487.969477,3904.062803,3760.861828,175.9330768,3850.028636,171.1747647,3844.63,3941.83,3770.46,3494.7,3895.14,3772.925714,170.6416893,3848.847667,168.8804351,1848,3098,3901,2652,4502,6101.857143,6211.957271,4145.466667,3490.123807,3658.13,3767.77,3961.31,3688.21,3922.73,3754.467143,97.29151191,3814.051667,113.1428327,0.39740732,0.418510928,0.422977538,0.475971258,0.600312972,0.413389667,0.024433502,0.430884013,0.046650494,0.313,0.796,0.009,0.066,-0.216,0.148714286,0.26964836,0.2338,0.278296716,0.005,0.2,0.038,-0.245,-0.133,0.130285714,0.107368081,0.108066667,0.133311389,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
13-03-2023,Castor,30-03-2023,3637.7,3554.74,3710.97,3748.49,3692.886563,55.19,1.517,3658.45,3763.87,3748.15,3781.45,2313,0.809,2.891,0.812,1.327,309,406,0.659,0.535,1709,3935,0,25,18,7,0.01,0.131,38.96,18.68,0,0.389769223,0.178,0.053,59311,42708,964,66.33,96.67,68.35,3756.56,825.13,859.01,0,34.53333333,0,0,825.1289867,859.0086547,0.178145266,0.052759183,0.66,6.84,3.62,0.07,4.2,0.261428571,0.316671679,1.915333333,2.933306635,39.13,33.47,37.51,35.51,26.36,36.62428571,2.070047158,35.16433333,2.758452444,20.76,21.57,17.51,23.29,17.06,19.93142857,2.148669577,20.27133333,2.038274682,3651.226808,3990.910481,4067.677813,3883.206505,4176.965103,3718.286982,144.1784869,3843.684638,173.4148576,3655.8,3988.85,4053.64,3842.61,4234.37,3733.228571,141.9481643,3844.459667,170.7479637,2700,18218,8527,1960,2530,3829.714286,3238.99592,4157.233333,3483.089579,3655.7,3883.37,3973.37,3976.43,4003.43,3736.351429,79.46174078,3806.722667,109.3183991,0.380543031,0.416363572,0.357709457,0.45966482,0.526165375,0.409590475,0.025916598,0.42855416,0.046908213,0.248,0.234,-0.202,0.421,0.531,0.140714286,0.267518669,0.2257,0.27618861,0.187,-0.023,0.005,0.023,-0.027,0.141142857,0.092031568,0.109066667,0.13276267,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
14-03-2023,Castor,30-03-2023,3579.96,3441.68,3555.32,3589.42,3559.73864,-20.22,-0.565,3542.7,3660.74,3617.03,3707.92,3471,1.104,0.659,0.47,1.17,44,65,0.586,0.337,2245,3935,0,28,12,16,1.0,-0.039,38.22,21.36,0,0.304250385,0.039,0.157,80143,110685,752,82.7,100.0,67.78,3690.05,804.69,858.55,0,34.7,0,0,804.6882918,858.5471133,0.039010566,0.156665629,0.01,0.09,0.16,3.02,10.37,0.391428571,0.408143299,1.848,2.930257609,38.96,35.32,31.71,35.43,29.3,37.03857143,2.055654223,35.25733333,2.814186884,18.68,18.67,19.16,23.71,22.84,20.31571429,2.12589477,20.193,1.944568297,3692.886563,3979.648829,3794.028303,4049.772346,3697.543185,3658.299813,96.92175054,3827.350181,176.3868617,3710.97,3969.78,3805.4,4038.45,3724.37,3674.02,109.5832902,3828.355333,174.5615351,2313,10768,1416,6908,3222,2787.285714,1105.202352,4042.666667,3445.816607,3756.56,3842.03,3836.99,3823.11,4078.82,3714.64,65.27016725,3802.287333,111.3117182,0.389769223,0.401116408,0.3869858,0.511152953,0.496243333,0.395752472,0.047809191,0.421657407,0.049484566,0.178,-0.09,-0.032,0.264,0.331,0.159142857,0.25302729,0.2182,0.278160633,0.053,0.195,0.116,0.081,0.155,0.135714286,0.089408639,0.1116,0.132933637,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
15-03-2023,Castor,30-03-2023,3592.46,3560.72,3526.89,3631.52,3584.019733,-8.44,-0.235,3592.18,3551.27,3527.82,3563.57,2573,1.836,1.463,0.826,0.525,497,327,0.01,0.71,2277,3935,0,59,9,50,1.34,-0.066,33.99,19.17,0,0.42544016,0.186,0.273,84711,55711,1787,67.36,96.32,71.97,3578.69,834.42,896.38,0,35.96666667,0,0,834.4188981,896.3824293,0.18587274,0.272597127,1.0,0.03,4.06,2.16,0.45,0.578571429,0.503899083,1.820666667,2.93107128,38.22,34.8,34.32,34.96,29.48,36.92285714,2.218976598,35.225,2.823278542,21.36,20.17,19.16,21.38,20.67,20.17285714,2.170450908,20.11933333,1.939905674,3559.73864,3498.940554,3724.406086,4040.32998,3567.452542,3670.453981,76.86681622,3812.13984,177.0608801,3555.32,3536.36,3724.75,4042.22,3585.6,3672.667143,111.6058054,3811.177667,178.1099274,3471,3451,4144,3626,1284,2661.857143,1066.466819,4007.566667,3455.556542,3690.05,3660.49,3660.11,3831.98,3872.03,3702.954286,81.80816684,3793.844333,118.3644642,0.304250385,0.444791156,0.389585717,0.499448255,0.548891892,0.392988044,0.044976632,0.419190471,0.04726786,0.039,0.242,0.58,0.147,-0.149,0.151142857,0.250846851,0.2195,0.277907421,0.157,0.28,0.132,0.006,-0.099,0.134714286,0.087545634,0.1205,0.134547966,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
16-03-2023,Castor,30-03-2023,3621.7,3609.18,3639.49,3639.31,3612.736266,-8.96,-0.247,3620.73,3510.02,3460.79,3532.4,3076,1.46,1.329,0.243,0.735,-175,470,0.949,0.059,331,3935,0,38,9,29,3.19,-0.079,36.47,21.63,0,0.295163393,0.002,0.055,117922,163436,1738,72.28,100.0,65.19,3572.67,831.95,883.09,0,36.5,0,0,831.9486629,883.0912557,0.00151374,0.05542693,1.34,0.19,0.01,13.95,0.83,1.007142857,1.072873312,1.462,1.857318052,33.99,38.16,37.89,37.78,33.65,36.68142857,2.152892849,35.18133333,2.792359938,19.17,22.29,17.45,23.97,21.81,20.07857143,2.075407017,20.04133333,1.823276197,3584.019733,3722.047581,3896.388654,3783.119902,3999.349403,3654.838079,75.73361742,3806.460385,180.7186845,3526.89,3762.12,3868.84,3765.77,4009.29,3655.148571,104.6308921,3806.968333,180.693538,2573,1237,4921,1458,5232,2924.571429,864.3180081,4061.5,3426.89928,3578.69,3759.1,3825.32,3717.8,3894.41,3676.321429,90.3806278,3789.006667,124.3919695,0.42544016,0.407453528,0.370549766,0.452704255,0.531859892,0.376946596,0.057295288,0.413939109,0.0519368,0.186,0.438,-0.077,0.409,-0.069,0.088857143,0.219979112,0.205933333,0.278271628,0.273,0.126,0.327,0.226,0.237,0.124571429,0.092685592,0.1148,0.133542812,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
17-03-2023,Castor,30-03-2023,3585.2,3483.55,3637.75,3619.56,3600.928796,15.73,0.439,3572.31,3571.6,3521.76,3592.26,1973,1.47,2.025,0.172,0.414,448,107,0.974,0.143,953,3935,0,26,18,8,0.0,-0.184,33.22,18.69,0,0.36968801,-0.254,-0.202,70265,62075,1635,69.05,100.0,74.49,3610.72,833.2,865.87,0,36.7,0,0,833.2041187,865.8663811,-0.25413953,-0.201572596,3.19,0.08,2.18,3.14,4.21,0.995714286,1.084755843,1.357333333,1.847947479,36.47,34.19,34.54,34.99,27.82,36.54285714,2.361127656,35.12233333,2.815148288,21.63,22.46,20.29,20.33,23.2,19.54,1.828952341,19.98666667,1.838842089,3612.736266,3709.569714,3742.508452,3678.993582,4000.986141,3639.317948,73.75412123,3803.858226,183.1628591,3639.49,3652.94,3765.29,3620.38,4008.04,3652.978571,104.8416359,3807.547333,180.1018932,3076,4491,6764,3447,2244,2564.857143,581.4210834,4012.366667,3446.524091,3572.67,3822.45,3637.4,3908.33,3971.78,3646.074286,65.26574877,3779.086333,126.3988197,0.295163393,0.446052658,0.340453011,0.514944532,0.48678079,0.36603736,0.0485463,0.409097225,0.048876429,0.002,-0.344,0.267,-0.069,0.168,0.101714286,0.191212547,0.199766667,0.286502535,0.055,0.142,0.142,0.255,0.024,0.075428571,0.153288244,0.099566667,0.142746625,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
18-03-2023,Castor,30-03-2023,4076.12,3948.08,4025.93,4128.03,4010.254357,-65.87,-1.616,4040.62,3606.59,3557.18,3625.01,4020,2.659,1.446,0.812,0.661,355,459,0.641,0.126,3574,3935,0,34,17,17,0.78,-0.161,36.75,21.74,0,0.312638804,0.195,0.097,117091,175448,1856,55.54,98.17,78.05,3582.22,825.33,820.27,0,36.13333333,0,0,825.3332441,820.2655508,0.19506651,0.096915781,0.0,0.77,0.07,0.01,1.92,0.997142857,1.084415577,1.383,1.833882541,33.22,35.81,30.55,32.11,31.37,36.67714286,2.339128857,35.277,2.771058742,18.69,16.49,19.97,19.41,22.22,20.29,1.394656469,20.06433333,1.862696753,3600.928796,3773.688828,3676.263389,4028.311652,3778.721135,3673.113023,155.0169661,3803.256316,182.4280216,3637.75,3844.63,3674.1,3982.84,3728.37,3678.878571,165.1350153,3808.983667,181.712699,1973,1848,1258,4106,1575,2875.142857,702.1299568,4009.5,3446.479291,3610.72,3658.13,3775.11,3918.64,3879.27,3635.23,69.12132763,3767.872333,128.4968402,0.36968801,0.39740732,0.366176577,0.493400429,0.530635611,0.353927572,0.049968761,0.403071837,0.049265744,-0.254,0.313,0.113,0.389,0.405,0.084857143,0.173898849,0.1933,0.284264708,-0.202,0.005,0.213,-0.133,0.129,0.088571429,0.150155316,0.107233333,0.135834251,3935,3935,3935,3935,3935,3935.0,0.0,3935.0,0.0
